id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
44018,EKNI,heliport,"Nini Helideck",56.640804290771484,5.32111120223999,,EU,Denmark,DK,"*Offshore Oil Platforms",DK-XX,XX,,0,EKNI,,,,,,0,2009-04-07T13:13:06+00:00
44019,EKRF,heliport,"Rolf Helideck",55.60615539550781,4.4913330078125,,EU,Denmark,DK,"*Offshore Oil Platforms",DK-XX,XX,,0,EKRF,,,,,,0,2009-04-07T13:13:08+00:00
44020,EKSI,heliport,"Siri Helideck",56.48271560668945,4.911110877990723,,EU,Denmark,DK,"*Offshore Oil Platforms",DK-XX,XX,,0,EKSI,,,,,,0,2009-04-07T13:13:10+00:00
44021,EKSC,heliport,"Skjold Helideck",55.531593322753906,4.906667232513428,,EU,Denmark,DK,"*Offshore Oil Platforms",DK-XX,XX,,0,EKSC,,,,,,0,2009-04-07T13:13:12+00:00
44022,EKAR,heliport,"South (Syd) Arne Helideck",56.08028030395508,4.23038911819458,,EU,Denmark,DK,"*Offshore Oil Platforms",DK-XX,XX,,0,EKAR,,,,,,0,2009-04-07T13:13:14+00:00
44023,EKTE,heliport,"Tyra E Helideck",55.72152328491211,4.802055835723877,,EU,Denmark,DK,"*Offshore Oil Platforms",DK-XX,XX,,0,EKTE,,,,,,0,2009-04-07T13:13:15+00:00
44024,EKTW,heliport,"Tyra W Helideck",55.716529846191406,4.750306129455566,,EU,Denmark,DK,"*Offshore Oil Platforms",DK-XX,XX,,0,EKTW,,,,,,0,2009-04-07T13:13:17+00:00
526439,EKAF,heliport,A6A,55.7905,3.9925,,EU,Denmark,DK,"*Offshore Oil Platforms",DK-XX,XX,,0,EKAF,,,,,,0,2024-04-22T12:37:39+00:00
341523,DK-0041,heliport,"Vestre Fjordpark Heliport",57.05865,9.88779,,EU,Denmark,DK,"North Jutland",DK-81,81,Aalborg,0,,,,,,,0,2021-03-02T12:05:18+00:00
319199,DK-0012,heliport,"Aarhus University Hospital Helipad",56.192716,10.167679,,EU,Denmark,DK,"Central Jutland",DK-82,82,Åarhus,0,,,,,,,0,2021-03-02T12:08:33+00:00
341524,DK-0042,heliport,"Aarhus University Hospital Helipad B",56.19078,10.17492,,EU,Denmark,DK,"Central Jutland",DK-82,82,Aarhus,0,,,,,,,0,2021-03-02T12:09:06+00:00
319165,DK-0011,heliport,"Rigshospitalet Helipad",55.696662,12.566769,,EU,Denmark,DK,"Capital Region",DK-84,84,Copenhagen,0,,,,,,,0,2016-06-28T04:42:54+00:00
318902,EKHL,heliport,"Holsted Helipad",55.496667,8.910833,,EU,Denmark,DK,"South Denmark",DK-83,83,Holsted,0,EKHL,,,,,"Ben Air",0,2022-10-22T14:10:27+00:00
520626,DK-0052,heliport,"Korsør Helipad",55.35425,11.1243,9,EU,Denmark,DK,Zealand,DK-85,85,Korsør,0,,,,,,,0,2024-02-16T21:34:37+00:00
320998,DK-0027,closed,"Bodilsker Airstrip",55.063671,15.053152,,EU,Denmark,DK,"Capital Region",DK-84,84,Nexø,0,,,,,,,0,2021-02-03T17:42:14+00:00
